skillName,category
Demonstrate Loyalty,Soft Skill
Demonstrate Trustworthiness,Soft Skill
Demonstrate Willingness To Learn,Soft Skill
Emotional Intelligence,Soft Skill
Engage Others In Environment Friendly Behaviours,Soft Skill
Evaluate Environmental Impact Of Personal Behaviour,Soft Skill
Exercise Rights And Responsibilities,Soft Skill
Exercise Self-Reflection,Soft Skill
Express Yourself Creatively,Soft Skill
Identify Problems,Soft Skill
Improvise,Soft Skill
Instruct Others,Soft Skill
Interpersonal Skills,Soft Skill
Interpret Mathematical Information,Soft Skill
Kanban,Soft Skill
Keep An Open Mind,Soft Skill
Lead Others,Soft Skill
Leadership,Soft Skill
Maintain Concentration For Long Periods,Soft Skill
Maintain Physical Fitness,Soft Skill
Maintain Psychological Well-Being,Soft Skill
Make An Informed Use Of The Health-Care System,Soft Skill
Make Decisions,Soft Skill
Manage Chronic Health Conditions,Soft Skill
Manage Digital Identity,Soft Skill
Manage Financial And Material Resources,Soft Skill
Manage Frustration,Soft Skill
Manage Personal Progression,Soft Skill
Manage Quality,Soft Skill
Manage Time,Soft Skill
Meet Commitments,Soft Skill
Memorise Information,Soft Skill
Mentoring,Soft Skill
Moderate A Discussion,Soft Skill
Motivate Others,Soft Skill
Move Objects,Soft Skill
Negotiate Compromises,Soft Skill
Negotiation,Soft Skill
Networking,Soft Skill
Operate Digital Hardware,Soft Skill
"Organise Information, Objects And Resources",Soft Skill
Participate Actively In Civic Life,Soft Skill
Plan,Soft Skill
Presentation Skills,Soft Skill
Problem Solving,Soft Skill
Process Spatial Information,Soft Skill
Project Management,Soft Skill
"Promote Ideas, Products, Services",Soft Skill
Promote The Principles Of Democracy And Rule Of Law,Soft Skill
Protect The Health Of Others,Soft Skill
Public Speaking,Soft Skill
React To Physical Changes Or Hazards,Soft Skill
Report Facts,Soft Skill
Resolve Conflicts,Soft Skill
Respect Confidentiality Obligations,Soft Skill
Respect The Diversity Of Cultural Values And Norms,Soft Skill
Scrum,Soft Skill
Show Commitment,Soft Skill
Show Confidence,Soft Skill
Show Determination,Soft Skill
Show Empathy,Soft Skill
Show Entrepreneurial Spirit,Soft Skill
Show Initiative,Soft Skill
Solve Problems,Soft Skill
Stakeholder Management,Soft Skill
Team Management,Soft Skill
Teamwork,Soft Skill
Think Analytically,Soft Skill
Think Creatively,Soft Skill
Think Critically,Soft Skill
Think Holistically,Soft Skill
Think Innovatively,Soft Skill
Think Quickly,Soft Skill
Time Management,Soft Skill
Use Communication And Collaboration Software,Soft Skill
"Use Equipment, Tools Or Technology With Precision",Soft Skill
Work Efficiently,Soft Skill
Work Ethic,Soft Skill
Work In Teams,Soft Skill
Work Independently,Soft Skill
3D Body Scanning Technologies,Technical
3D Lighting,Technical
3D Modelling,Technical
3D Printing Process,Technical
3D Texturing,Technical
ABAP,Technical
ABBYY FineReader,Technical
Absorb (Learning Management Systems),Technical
Acquire System Component,Technical
Adapt To New Technology Used In Cars,Technical
Add Computer Components,Technical
Adjust Hearing Aids,Technical
Adjust ICT System Capacity,Technical
Adjust Video Transmissions,Technical
Administer ICT System,Technical
Adobe Creative Suite,Technical
Adobe Illustrator,Technical
Adobe Photoshop,Technical
Adobe Photoshop Lightroom,Technical
Adobe XD,Technical
Advanced Driver Assistant Systems,Technical
Advise Customers On Type Of Computer Equipment,Technical
Advise On Online Dating,Technical
Agile Development,Technical
Agile Project Management,Technical
Aircrack (Penetration Testing Tool),Technical
Aircraft Flight Control Systems,Technical
Airspace System Block Upgrades,Technical
AJAX,Technical
Ajax Framework,Technical
Alarm Systems,Technical
Algorithms,Technical
Align Antennae With Receiving Dishes,Technical
Align Software With System Architectures,Technical
Analyse Big Data,Technical
Analyse Blockchain Use Cases,Technical
Analyse Blood Samples,Technical
Analyse Clothing 3d Prototypes,Technical
Analyse Decentralised Applications,Technical
Analyse Ecological Data,Technical
Analyse Gambling Data,Technical
Analyse ICT System,Technical
Analyse Information Systems,Technical
Analyse Milk Control Test Results,Technical
Analyse Network Bandwidth Requirements,Technical
Analyse Network Configuration And Performance,Technical
Analyse Pipeline Database Information,Technical
Analyse Scanned Data Of The Body,Technical
Analyse Software Specifications,Technical
Analyse Stress Resistance Of Materials,Technical
Analyse Stress Resistance Of Products,Technical
Android (Mobile Operating Systems),Technical
Android Development,Technical
Angular,Technical
Animate 3D Organic Forms,Technical
Ansible,Technical
Apache Maven,Technical
Apache Tomcat,Technical
APL,Technical
Application Usability,Technical
Apply 3D Imaging Techniques,Technical
Apply Blended Learning,Technical
Apply Colour Grading,Technical
Apply Control Process Statistical Methods,Technical
Apply Desktop Publishing Techniques,Technical
Apply Digital Mapping,Technical
Apply ICT System Usage Policies,Technical
Apply ICT Systems Theory,Technical
Apply ICT Terminology,Technical
Apply Operations For An ITIL-Based Environment,Technical
Apply Precision Farming,Technical
Apply Reverse Engineering,Technical
Apply Social Media Marketing,Technical
Apply Statistical Analysis Techniques,Technical
Apply System Organisational Policies,Technical
Apply Through-Hole Technology Manually,Technical
Apply Tools For Content Development,Technical
Aquaculture Production Planning Software,Technical
Artificial Neural Networks,Technical
ASP.NET,Technical
Assemble Hardware Components,Technical
Assemble Robots,Technical
Assemble Telecommunications Devices,Technical
Assemble Video Tape Footage,Technical
Assembly (Computer Programming),Technical
Assess ICT Knowledge,Technical
Assess Integrated Domotics Systems,Technical
Assess Users' Interaction With ICT Applications,Technical
Assessment Of Risks And Threats,Technical
Assist Multimedia Operator,Technical
Assistive Instruments,Technical
Assistive Technology In Education,Technical
ATM Systems,Technical
Attack Vectors,Technical
Attend To ICT Systems Quality,Technical
Audio Editing Software,Technical
Audio Mastering,Technical
Audio Technology,Technical
Audiovisual Equipment,Technical
Audit Techniques,Technical
Augmented Reality,Technical
Authoring Software,Technical
AutoCAD,Technical
Automate Cloud Tasks,Technical
Automated Optical Inspection,Technical
Automatic Control System,Technical
Automatic Meter Reading,Technical
Automation Technology,Technical
Automotive Engineering,Technical
AWS,Technical
Backbox (Penetration Testing Tool),Technical
Balance Database Resources,Technical
BlackArch,Technical
BlackBerry,Technical
Blockchain,Technical
Blockchain Application Areas,Technical
Blockchain Applications,Technical
Blockchain Applications Security Principles,Technical
Blockchain Architecture,Technical
Blockchain Components,Technical
Blockchain Concept Application,Technical
Blockchain Consensus Mechanisms,Technical
Blockchain Design Patterns,Technical
Blockchain History,Technical
Blockchain Mining Principles,Technical
Blockchain Platforms,Technical
Blockchain Signature Schemes,Technical
Blockchain Terminology,Technical
Blockchain-Based Business Models,Technical
Blockchain-Based Services Regulation,Technical
Brightspace (Learning Management Systems),Technical
Broadcast Equipment,Technical
Broadcast Using Internet Protocol,Technical
Build Recommender Systems,Technical
Building Automation,Technical
Building Information Modelling,Technical
Building Systems Monitoring Technology,Technical
Building'S Electronic Access Equipment,Technical
Business Analytics,Technical
Business ICT Systems,Technical
Business Intelligence,Technical
C,Technical
C#,Technical
C++,Technical
CA Datacom/DB,Technical
CAD For Footwear,Technical
CAD For Garment Manufacturing,Technical
CAD Software,Technical
CADD Software,Technical
CAE Software,Technical
Cain And Abel (Penetration Testing Tool),Technical
Calculate Costs Of Repair Operations,Technical
Call-Centre Technologies,Technical
CAM Software,Technical
Canvas (Learning Management Systems),Technical
Captioning Software,Technical
Capture One,Technical
Carry Out Bibliographic Work,Technical
Carry Out Forum Moderation,Technical
Carry Out Research On Ground Systems,Technical
Chef (Tools For Software Configuration Management),Technical
CI/CD,Technical
Cisco,Technical
Cloud Monitoring And Reporting,Technical
Cloud Security And Compliance,Technical
Cloud Technologies,Technical
COBOL,Technical
Codenvy,Technical
CoffeeScript,Technical
Cognitive Computing,Technical
Collect Customer Data,Technical
Collect Cyber Defence Data,Technical
Collect Data Using GPS,Technical
Collect ICT Data,Technical
Collect Mapping Data,Technical
Collect Real-Time Geolocation Information,Technical
Collect Weather-Related Data,Technical
Collection Management Software,Technical
Colour Grade Images With Digital Intermediate,Technical
Common Lisp,Technical
Communicate Using The Global Maritime Distress And Safety System,Technical
Compare Survey Computations,Technical
Compile Data For Navigation Publications,Technical
Compile GIS-Data,Technical
Computational Biology,Technical
Computational Chemistry,Technical
Computational Fluid Dynamics,Technical
Computational Linguistics,Technical
Computational Mechanics,Technical
Computer Assisted Language Learning,Technical
Computer Engineering,Technical
Computer Equipment,Technical
Computer Forensics,Technical
Computer Graphics,Technical
Computer History,Technical
Computer Science,Technical
Computer Simulation,Technical
Computer Technology,Technical
Computer Vision,Technical
Computerised Feeding Systems,Technical
Concepts Of Telecommunications,Technical
Conduct Analysis Of Ship Data,Technical
Conduct Clinical Software Research,Technical
Conduct ICT Code Review,Technical
Conduct Impact Evaluation Of ICT Processes On Business,Technical
Conduct Mobile Marketing,Technical
Conduct Radiotherapy Computer Planning,Technical
Conduct Search Engine Optimisation,Technical
Conduct Threat Intelligence,Technical
Conduct Video Telemetry,Technical
Configuration Of The Tote Room Hardware,Technical
Configure ICT System,Technical
Configure Media Integration Systems,Technical
Conserve New Media,Technical
Consumer Electronics,Technical
Content Development Processes,Technical
Contribute To Development Of Biometric Systems,Technical
Control Engineering,Technical
Control Objectives For Information And Related Technology,Technical
Control Panel Components,Technical
Control Production Flow Remotely,Technical
Control Systems,Technical
Convert Different Audiovisual Formats,Technical
Convert Into Animated Object,Technical
Convert Scribbles Into Virtual Sketches,Technical
Coordinate Audio System Programmes,Technical
Coordinate The Allocation Of Mode S Radars To Interrogator Codes,Technical
Core Banking Software,Technical
Create 2D Painting,Technical
Create 3D CAD Footwear Prototypes,Technical
Create 3D Characters,Technical
Create 3D Environments,Technical
Create 3D Texture Map,Technical
Create A Crowdfunding Campaign,Technical
Create A Product'S Virtual Model,Technical
Create Advocacy Material,Technical
Create Animated Narratives,Technical
Create CAD Drawings,Technical
Create Cadastral Maps,Technical
Create Concept Of Digital Game,Technical
Create Data Models,Technical
Create Data Sets,Technical
Create Database Diagrams,Technical
Create Digital Files,Technical
Create Digital Game Characters,Technical
Create Digital Images,Technical
Create Freight Rate Databases,Technical
Create Game Testing Software,Technical
Create GIS Reports,Technical
Create Infrared Imagery,Technical
Create Moving Images,Technical
Create Online News Content,Technical
Create Prototype Of User Experience Solutions,Technical
Create Risk Maps,Technical
Create SCORM Packages,Technical
Create Software Design,Technical
Create Thematic Maps,Technical
Create Weather Maps,Technical
Create Website Wireframe,Technical
Crowdfunding,Technical
CryEngine,Technical
Cryptocurrency,Technical
CSS,Technical
Customise Software For Drive System,Technical
Cut Raw Footage Digitally,Technical
Cutting Technologies,Technical
Cyber Attack Counter-Measures,Technical
Cyber Security,Technical
Cybernetics,Technical
Cybersecurity,Technical
Dart,Technical
Data Analysis,Technical
Data Analytics,Technical
Data Engineering,Technical
"Data Extraction, Transformation And Loading Tools",Technical
Data Mining,Technical
Data Mining Methods,Technical
Data Models,Technical
Data Protection,Technical
Data Quality Assessment,Technical
Data Science,Technical
Data Security Principles,Technical
Data Storage,Technical
Data Visualisation Software,Technical
Data Visualization,Technical
Data Warehouse,Technical
Database,Technical
Database Development Tools,Technical
Database Management Systems,Technical
Database Quality Standards,Technical
DB2,Technical
Debug Software,Technical
Decentralised Identifiers,Technical
Decentralized Application Frameworks,Technical
Decision Support Systems,Technical
Deep Learning,Technical
Define Celestial Bodies,Technical
Define Database Physical Structure,Technical
Define Firewall Rules,Technical
Define ICT Network Design Policies,Technical
Define Integration Strategy,Technical
Define Roadmap For Blockchain In Applications,Technical
Define Software Architecture,Technical
Deliver Online Training,Technical
Deliver Visual Presentation Of Data,Technical
Demonstrate Functionality Of Software Products,Technical
Deploy Cloud Resource,Technical
Deploy ICT Systems,Technical
Design A Domotic System In Buildings,Technical
Design A Media Integration System,Technical
Design Application Interfaces,Technical
Design Automation Components,Technical
Design Brand'S Online Communication Plan,Technical
Design Chassis,Technical
Design Circuit Boards,Technical
Design Circuits Using CAD,Technical
Design Cloud Architecture,Technical
Design Cloud Networks,Technical
Design Component Interfaces,Technical
Design Computer Network,Technical
Design Control Systems,Technical
Design Database Backup Specifications,Technical
Design Database In The Cloud,Technical
Design Database Scheme,Technical
Design Dolls,Technical
Design Electrical Systems,Technical
Design Electromechanical Systems,Technical
Design Electronic Systems,Technical
Design Failover Solutions,Technical
Design Firmware,Technical
Design For Organisational Complexity,Technical
Design Hardware,Technical
Design ICT Hardware Placement,Technical
Design Information System,Technical
Design Infrastructure For Surface Mines,Technical
Design Interaction Model,Technical
Design Microelectromechanical Systems,Technical
Design Optical Prototypes,Technical
Design Pharmaceutical Manufacturing Systems,Technical
Design Power Electronics,Technical
Design Process,Technical
Design Process For Blockchain-Based Systems,Technical
Design Sensors,Technical
"Design The Digital Interface Of Gambling, Betting And Lottery Games",Technical
Design User Interface,Technical
Design Ventilation Network,Technical
Design Web-Based Courses,Technical
Desktop Publishing,Technical
Develop Animations,Technical
Develop Automated Migration Methods,Technical
Develop Automated Software Tests,Technical
Develop Blockchain Innovative Architectures,Technical
Develop Blockchain Technology,Technical
Develop Code Exploits,Technical
Develop Computer Vision System,Technical
Develop Data Link Services For Navigation Purposes,Technical
Develop Data Processing Applications,Technical
Develop Design Plans,Technical
Develop Digital Educational Materials,Technical
Develop E-Learning Plan,Technical
Develop Food Scanner Devices,Technical
Develop Geological Databases,Technical
Develop ICT Device Driver,Technical
Develop ICT Safety Information,Technical
Develop ICT Test Suite,Technical
Develop ICT Workflow,Technical
Develop Inclusive Communication Material,Technical
Develop Online Community Plan,Technical
Develop Online Sales Business Plan,Technical
Develop Reporting Software,Technical
Develop Shipping Itineraries,Technical
Develop Software Prototype,Technical
Develop Statistical Software,Technical
Develop Translation Memory Software,Technical
Develop Virtual Game Engine,Technical
Develop With Cloud Services,Technical
DevOps,Technical
Digital Arts,Technical
Digital Camera Sensors,Technical
Digital Compositing,Technical
Digital Curation,Technical
Digital Game Creation Systems,Technical
Digital Game Genres,Technical
Digital Identity Management,Technical
Digital Image Processing,Technical
Digital Journalism,Technical
Digital Marketing Techniques,Technical
Digital Media,Technical
Digital Printing,Technical
Digital Systems,Technical
Digital Twin Technology,Technical
Digitise Documents,Technical
Digitization,Technical
Disassemble Mobile Devices,Technical
Distribute Control Signals,Technical
Distributed Computing,Technical
Distributed Directory Information Services,Technical
Distributed Ledger Technologies Consensus Protocols,Technical
Distributed Ledger Technologies Vulnerabilities,Technical
Distributed Ledger Technology,Technical
Django,Technical
Do Cloud Refactoring,Technical
Docker,Technical
Domain Name Service,Technical
Domotic Systems,Technical
Draft Corporate Emails,Technical
Draw Sketches To Develop Textile Articles Using Softwares,Technical
Draw Up Stage Layouts Digitally,Technical
Drupal,Technical
E-Agriculture,Technical
E-Commerce Systems,Technical
E-Learning,Technical
E-Learning Software Infrastructure,Technical
E-Procurement,Technical
E-Tailoring,Technical
Eclipse (Integrated Development Environment Software),Technical
Edit Digital Moving Images,Technical
Edit Negatives,Technical
Edit Photographs,Technical
Edit Recorded Sound,Technical
Edmodo,Technical
Electronic And Telecommunication Equipment,Technical
Electronic Business,Technical
Electronic Communication,Technical
Electronic Locks,Technical
Electronics,Technical
Embedded Systems,Technical
Emergent Technologies,Technical
Employ Habitat Survey Techniques,Technical
Energy Saving Potential Of Automated Shift Systems,Technical
Engrade,Technical
Enhance Website Visibility,Technical
Ensure Adherence To Organisational ICT Standards,Technical
Erlang,Technical
Establish An ICT Customer Support Process,Technical
Establish An ICT Security Prevention Plan,Technical
Establish An Information Security Management System,Technical
Establish Data Processes,Technical
Estimate Costs Of Installing Telecommunication Devices,Technical
Ethical Hacking,Technical
Ethical Hacking Principles,Technical
Ethics Of Sharing Work Through Social Media,Technical
Evaluate Blockchain Architectures,Technical
Evaluate Cost Of Software Products,Technical
Evaluate Information Services Using Metrics,Technical
Evaluate Musical Ideas,Technical
Evaluate Translation Technologies,Technical
Excel,Technical
Execute Conversion Testing,Technical
Execute ICT Audits,Technical
Execute ICT User Research Activities,Technical
Execute Integration Testing,Technical
Execute Social Engineering Tests,Technical
Execute Software Tests,Technical
Explain Blockchain Implications,Technical
Explain Characteristics Of Computer Peripheral Equipment,Technical
Explain Distributed Ledger Technologies Principles,Technical
Express.js,Technical
Fibre Optics,Technical
Field-Programmable Gate Arrays,Technical
Figma,Technical
File Documents,Technical
File-Based Workflow,Technical
Filemaker (Database Management Systems),Technical
Firebase,Technical
Firmware,Technical
Flask,Technical
Flutter,Technical
Follow Up Online User Requests,Technical
Food Waste Monitoring Systems,Technical
Forecast Future ICT Network Needs,Technical
Frostbite (Digital Game Creation Systems),Technical
Gamemaker Studio,Technical
GameSalad,Technical
Gather Data,Technical
GDPR,Technical
Geographic Information Systems,Technical
GIMP (Graphics Editor Software),Technical
Git,Technical
GitHub,Technical
Global Navigation Satellite System Performance Parameters,Technical
Go,Technical
Google Cloud Platform,Technical
Graphic Design,Technical
Graphics Editor Software,Technical
GraphQL,Technical
Green Computing,Technical
Groovy,Technical
Grovo,Technical
Guide Learners In Using Assistive Technologies,Technical
Hadoop,Technical
Handle Cybersecurity Incidents,Technical
Handle Geospatial Technologies,Technical
Hardware Architectures,Technical
Hardware Components,Technical
Hardware Industry,Technical
Hardware Materials,Technical
Hardware Platforms,Technical
Hardware Testing Methods,Technical
Haskell,Technical
Have Computer Literacy,Technical
Havok Vision,Technical
Health Informatics,Technical
Health Technology Assessment,Technical
Healthcare Data Systems,Technical
HeroEngine,Technical
HTML,Technical
Human-Computer Interaction,Technical
Human-Robot Collaboration,Technical
Hybrid Control Systems,Technical
Hybrid Model,Technical
IBM Informix,Technical
IBM InfoSphere DataStage,Technical
IBM InfoSphere Information Server,Technical
IBM WebSphere,Technical
ICT Accessibility Standards,Technical
ICT Architectural Frameworks,Technical
ICT Capacity Planning Strategies,Technical
ICT Communications Protocols,Technical
ICT Debugging Tools,Technical
ICT Encryption,Technical
ICT Environmental Policies,Technical
ICT Hardware Specifications,Technical
ICT Help Platforms,Technical
ICT Infrastructure,Technical
ICT Market,Technical
ICT Network Cable Limitations,Technical
ICT Network Routing,Technical
ICT Network Security Risks,Technical
ICT Network Simulation,Technical
ICT Networking Hardware,Technical
ICT Performance Analysis Methods,Technical
ICT Power Consumption,Technical
ICT Problem Management Techniques,Technical
ICT Process Quality Models,Technical
ICT Project Management,Technical
ICT Project Management Methodologies,Technical
ICT Quality Policy,Technical
ICT Recovery Techniques,Technical
ICT Sales Methodologies,Technical
ICT Security Legislation,Technical
ICT Security Standards,Technical
ICT Software Specifications,Technical
ICT System Integration,Technical
ICT System Programming,Technical
ICT System User Requirements,Technical
Id Tech,Technical
Identify Blockchain Innovation Opportunities,Technical
Identify GIS Issues,Technical
Identify ICT Security Risks,Technical
Identify ICT System Weaknesses,Technical
Identify ICT User Needs,Technical
Identify Market Requirements For ICT Documentation,Technical
Identify Software For Warehouse Management,Technical
Image Recognition,Technical
Implement A Firewall,Technical
Implement A Virtual Private Network,Technical
Implement Anti-Virus Software,Technical
Implement Cloud Security And Compliance,Technical
Implement Cryptographic Constructs,Technical
Implement Data Quality Processes,Technical
Implement Data Warehousing Techniques,Technical
Implement Front-End Website Design,Technical
Implement ICT Coding Conventions,Technical
Implement ICT Network Diagnostic Tools,Technical
Implement ICT Recovery System,Technical
Implement ICT Risk Management,Technical
Implement ICT Security Policies,Technical
Implement Route Planning In Smart Mobility Services,Technical
Implement Smart Contracts,Technical
Implement Spam Protection,Technical
Improve Customer Traveling Experiences With Augmented Reality,Technical
Improve User-Friendliness,Technical
Incremental Development,Technical
Industrial Software,Technical
Informatica PowerCenter,Technical
Information Architecture,Technical
Information Categorisation,Technical
Information Confidentiality,Technical
Information Extraction,Technical
Information Security Strategy,Technical
Information Structure,Technical
Innovate In ICT,Technical
Inspect Data,Technical
Install Automation Components,Technical
Install Blinds Drive Systems,Technical
Install Electronic Communication Devices On Trains,Technical
Install Electronic Communication Equipment,Technical
Install Image Equipment,Technical
Install Mechatronic Equipment,Technical
Install Monitors For Process Control,Technical
Install Operating System,Technical
Install Signal Repeaters,Technical
Install Software,Technical
Instruct Library Users In Digital Literacy,Technical
Instrumentation Engineering,Technical
Integrate Content Into Output Media,Technical
Integrate ICT Data,Technical
Integrate System Components,Technical
Integrated Circuit Types,Technical
Integrated Development Environment Software,Technical
Inter-Organisational Middleware System,Technical
Interactive Media,Technical
Interfacing Techniques,Technical
Internal Risk Management Policy,Technical
Internet Governance,Technical
Internet Of Things,Technical
Interpret Automatic Call Distribution Data,Technical
Interpret Graphical Communication Interfaces,Technical
Interpret Graphical Recordings Of Rail-Flaw-Detection Machine,Technical
IOS,Technical
IOS Development,Technical
Iterative Development,Technical
Java,Technical
Java (Computer Programming),Technical
JavaScript,Technical
JavaScript Framework,Technical
Jenkins (Tools For Software Configuration Management),Technical
Jira,Technical
John The Ripper (Penetration Testing Tool),Technical
Joomla,Technical
JSSS,Technical
Kali Linux,Technical
KDevelop,Technical
Keep Up With Digital Transformation Of Industrial Processes,Technical
Keep Up With The Latest Information Systems Solutions,Technical
Keep Up-To-Date To Computer Trends,Technical
Keywords In Digital Content,Technical
Knowledge Base,Technical
Kotlin,Technical
Kubernetes,Technical
LAMS,Technical
Lay Out Digital Written Content,Technical
LDAP,Technical
Lead Disaster Recovery Exercises,Technical
Lean Project Management,Technical
Learning Management Systems,Technical
Learning Technologies,Technical
LESS,Technical
Levels Of Software Testing,Technical
LINQ,Technical
Linux,Technical
Lisp,Technical
Litmos,Technical
Locate Fossils,Technical
Locate Microchip In Animals,Technical
Log Emergency Call Information Electronically,Technical
Log Transmitter Readings,Technical
Machine Learning,Technical
Machine Translation,Technical
Maintain A Central Project Repository,Technical
Maintain Audiovisual Equipment,Technical
Maintain Automated Lighting Equipment,Technical
Maintain Broadcast Equipment,Technical
Maintain Computer Hardware,Technical
Maintain Computerised Records Of Railway Traffic,Technical
Maintain Control Systems For Automated Equipment,Technical
Maintain Data Entry Requirements,Technical
Maintain Database Performance,Technical
Maintain Database Security,Technical
Maintain Freelance Database,Technical
Maintain ICT Identity Management,Technical
Maintain ICT Server,Technical
Maintain ICT System,Technical
Maintain Information Network Hardware,Technical
Maintain Internet Protocol Configuration,Technical
Maintain Irrigation Controllers,Technical
Maintain Media Integration Equipment,Technical
Maintain Pricing Database,Technical
Maintain Projection Equipment,Technical
Maintain Radio Communications Equipment,Technical
Maintain Responsive Design,Technical
Maintain Robotic Equipment,Technical
Maintain Sensor Equipment,Technical
Maintain Stock Control Systems,Technical
Maintain System Logs,Technical
Maintain Up-To-Date Aeronautical Information Management Services,Technical
Maintain Warehouse Database,Technical
Maltego,Technical
Manage Aeronautical Information Management Services,Technical
Manage Alarm System,Technical
Manage Archive Users Guidelines,Technical
Manage Changes In ICT System,Technical
Manage Closed-Circuit Television System,Technical
Manage Cloud Data And Storage,Technical
Manage Computer-Based Transport Operation Control Systems,Technical
Manage Content Development Projects,Technical
Manage Content Metadata,Technical
Manage Data,Technical
Manage Data Collection Systems,Technical
Manage Database,Technical
Manage Digital Archives,Technical
Manage Digital Documents,Technical
Manage Digital Libraries,Technical
Manage Disaster Recovery Plans,Technical
Manage Dispatch Software Systems,Technical
Manage Donor Database,Technical
Manage Email Hosting Service,Technical
Manage Environmental Management System,Technical
Manage Findable Accessible Interoperable And Reusable Data,Technical
Manage Flight Data Communications Programme,Technical
Manage ICT Change Request Process,Technical
Manage ICT Data Architecture,Technical
Manage ICT Data Classification,Technical
Manage ICT Legacy Implication,Technical
Manage ICT Semantic Integration,Technical
Manage ICT Virtualisation Environments,Technical
Manage Information Access Aids,Technical
Manage IT Security Compliances,Technical
Manage Keys For Data Protection,Technical
Manage Library Users Queries,Technical
Manage Membership Database,Technical
Manage Meteorological Database,Technical
Manage Multi Frequency Wireless Signal Distribution,Technical
Manage Office Facility Systems,Technical
